Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,119.75,-87.5,180.0,top
C2,15pF,C_0402_1005Metric,126.25,-88.0,-90.0,top
C3,10nF,C_0402_1005Metric,126.75,-89.5,0.0,top
C4,10uF,C_0603_1608Metric,123.75,-86.0,180.0,top
C5,0.1uF,C_0402_1005Metric,120.2,-79.5,0.0,top
C6,0.1uF,C_0402_1005Metric,139.0,-84.0,90.0,top
C7,1uF,C_0402_1005Metric,139.0,-82.0,90.0,top
C8,0.1uF,C_0402_1005Metric,139.0,-80.0,90.0,top
C9,0.1uF,C_0402_1005Metric,120.2,-80.5,0.0,top
C10,0.1uF,C_0402_1005Metric,132.25,-80.0,180.0,top
C11,0.1uF,C_0402_1005Metric,131.45,-87.3,-90.0,top
C12,0.1uF,C_0402_1005Metric,132.25,-84.75,180.0,top
R1,10K,R_0402_1005Metric,137.45,-87.8,180.0,top
R2,10K,R_0402_1005Metric,137.45,-86.8,0.0,top
R3,220R,R_0402_1005Metric,137.5,-82.49,90.0,top
R4,68K,R_0603_1608Metric,127.5,-87.425,-90.0,top
R5,30K,R_0603_1608Metric,129.25,-87.425,90.0,top
R6,68R,R_0402_1005Metric,140.49,-83.0,0.0,top
R7,68R,R_0402_1005Metric,140.49,-81.0,180.0,top
R8,47R,R_0603_1608Metric,117.25,-85.0,0.0,top
R9,47R,R_0603_1608Metric,117.25,-83.25,0.0,top
R10,47R,R_0603_1608Metric,117.25,-81.25,180.0,top
R11,47R,R_0603_1608Metric,117.25,-79.0,180.0,top
R12,47R,R_0603_1608Metric,117.25,-77.0,180.0,top
R13,220R,R_0402_1005Metric,137.5,-77.75,90.0,top
